hostname,ip_address,stack_size,models,serial_numbers,sfp_count
Alameda-IDFA-3750-Stack.dtc_phx.com,10.101.255.50,2,WS-C3750-48PS-S,"FDO1239X2T5, FDO1239X2Q6",8
Alameda-IDFB-3750-Stack.dtc_phx.com,10.101.255.60,1,WS-C3750-48PS-S,CAT0847R1TZ,2
Alameda-IDFC-3750-Stack.dtc_phx.com,10.101.255.70,4,WS-C3750-48PS-S,"FDO1239X2T6, FDO1239X2T0, FDO1239X2PZ, FDO1421X2Z7",6
Alameda-IDFD-3750-Stack.dtc_phx.com,10.101.255.80,1,WS-C3750-48PS-S,FDO1239X2TA,2
Alameda-IDFE-3750-Stack.dtc_phx.com,10.101.255.90,3,WS-C3750V2-48PS-S,"FDO1738Y16S, FDO1738Y19V, FDO1738Y02E",4
HQ-7000-01-CORE.dtc_phx.com,10.0.100.194,1,N7K-C7010,TBM13322374,61
HQ-7000-01-PCI.dtc_phx.com,10.0.179.2,1,N7K-C7010,TBM13322374,61
HQ-7000-02-CORE.dtc_phx.com,10.0.100.210,1,N7K-C7010,JAF1429DSFM,63
HQ-7000-02-EDGE.dtc_phx.com,10.253.253.3,1,N7K-C7010,JAF1429DSFM,63
HQ-7000-02-PCI.dtc_phx.com,10.0.179.3,1,N7K-C7010,JAF1429DSFM,63
Alameda-Rack3-3750-Stack,10.101.255.101,2,WS-C3750G-48TS-S,"FOC1306W6AH, FOC1250W6L0",0
Alameda-Rack4-3750-Stack.dtc_phx.com,10.101.255.102,1,WS-C3750G-48TS-S,FOC1306W4BG,1
Alameda-Rack5-3750-Stack.dtc_phx.com,10.101.255.105,1,WS-C3750G-48TS-E,FOC1050Y671,0
MDF-3750-I9-SwA.dtc_phx.com,10.0.255.53,1,WS-C3750G-48TS-S,FOC1435Y2M3,0
MDF-3750-I9-SwB.dtc_phx.com,10.0.255.54,1,WS-C3750G-48TS-S,FOC1306W6A0,0
MDF-3750-L3.dtc_phx.com,10.0.255.46,2,"WS-C3750G-48TS-E, WS-C3750G-48TS-S","FOC1044Y017, FOC1435Y2KE",0
MDF-3750-Stk-J9.dtc_phx.com,10.0.255.36,2,WS-C3750G-48TS-S,"FOC1107Y3ZW, FOC1107Y40V",0
Alameda-Rack4-3750-A.dtc_phx.com,10.101.255.103,1,WS-C3750G-48TS-S,FOC1411Y8FB,4
MDF-3750-Stk-M9.dtc_phx.com,10.0.255.39,2,WS-C3750G-48TS-S,"FOC1104Y2RY, FOC1104Y2R4",0
MDF-3750-Stk-N9.dtc_phx.com,10.0.255.42,2,WS-C3750G-48TS-S,"FOC1139Y21T, FOC1138Y0A9",0
MDF-3750-Stk-O9.dtc_phx.com,10.0.255.43,2,WS-C3750G-48TS-S,"FOC1138Y0A4, FOC1139Y21R",0
MDF-3750-Stk-P9.dtc_phx.com,10.0.255.44,2,WS-C3750G-48TS-S,"FOC1139Y225, FOC1138Y0AG",0
CFG_04_SW.dtc_phx.com,10.101.108.21,1,WS-C3750G-48TS-S,FOC1230Y0RB,2
SVALTOR,10.101.100.138,2,WS-C3750G-24TS-S1U,"FOC1417Y1BH, FOC1414Z66M",0
IDFCNF-3750-Stack.dtc_phx.com,10.0.255.66,2,WS-C3750-48PS-S,"FDO1122Z5B9, FDO1122Z5DV",2
IDFHQ-3750-TestLab.trtc.com,10.0.255.84,1,WS-C3750-48PS-S,FDO1122Z5DR,0
SVHQTOR.DTC_PHX.COM.trtc.com,10.0.99.1,2,WS-C3750G-48TS-S,"FOC1104Y2P4, FOC1107Y42Z",2
HQ-7000-01-CORE.dtc_phx.com,10.0.255.239,1,N7K-C7010,TBM13322374,61
SVHQTOR.DTC_PHX.COM.trtc.com,10.0.100.138,2,WS-C3750G-48TS-S,"FOC1104Y2P4, FOC1107Y42Z",2
HQ-7000-02-EDGE.dtc_phx.com,10.0.100.201,1,N7K-C7010,JAF1429DSFM,63
HQ-7000-01-ADMIN,10.0.145.123,1,N7K-C7010,TBM13322374,61
HQ-7000-02-ADMIN,10.0.145.124,1,N7K-C7010,JAF1429DSFM,63
HQ-7000-01-EDGE,10.0.145.2,1,N7K-C7010,TBM13322374,61
AL-7000-01-ADMIN,10.101.145.123,1,N7K-C7010,TBM13205522,54
AL-7000-02-ADMIN,10.101.145.124,1,N7K-C7010,TBM13250072,54
AL-7000-01-CORE,10.101.255.244,1,N7K-C7010,TBM13205522,54
AL-7000-02-CORE,10.0.184.20,1,N7K-C7010,TBM13250072,54
AL-7000-01-EDGE,10.101.100.209,1,N7K-C7010,TBM13205522,54
AL-7000-02-EDGE,10.101.100.217,1,N7K-C7010,TBM13250072,54
AL-7000-01-PCI,10.101.100.189,1,N7K-C7010,TBM13205522,54
AL-7000-02-PCI,10.101.100.201,1,N7K-C7010,TBM13250072,54
