Site,Issue Type,WAN,Device Notes Provider,ARIN Provider,Speed,Available Circuits,Recommendation
"GAA 46","Provider mismatch","WAN1","Mediacom/BOI","","","AT&T Broadband II","Fuzzy match or mapping needed"
"GAA 46","Provider mismatch","WAN2","AT&T Broadband II","","","Mediacom/BOI","Fuzzy match or mapping needed"
"TXS 31","Provider mismatch","WAN1","AT&T Broadband II","","","Spectrum","Fuzzy match or mapping needed"
"LAB 03","Provider mismatch","WAN1",": AT&T Broadband II","","","Cox Business/BOI","Fuzzy match or mapping needed"
"LAB 03","Provider mismatch","WAN2",": Cox Business/BOI","","","AT&T Broadband II","Fuzzy match or mapping needed"
"MIP 01","Provider mismatch","WAN1","Winn Telecom","","","Spectrum","Fuzzy match or mapping needed"
"MIP 01","Provider mismatch","WAN2","Spectrum","","","Winn Telecom","Fuzzy match or mapping needed"
"MOS 12","Provider mismatch","WAN2","Spectrum","","","AT&T Broadband II","Fuzzy match or mapping needed"
"NCC 46","Provider mismatch","WAN2","Spectrum","","","Windstream","Fuzzy match or mapping needed"
"NEL 01","Provider mismatch","WAN2","Spectrum","","","Allo Communications","Fuzzy match or mapping needed"
"TXS 31","Provider mismatch","WAN2","Spectrum","","","AT&T Broadband II","Fuzzy match or mapping needed"
"MOS 12","Provider mismatch","WAN1","Private Customer - AT&T Internet Services","","","Spectrum","Fuzzy match or mapping needed"
"NCC 46","Provider mismatch","WAN1","Windstream","","","Spectrum","Fuzzy match or mapping needed"
"NEL 01","Provider mismatch","WAN1","Allo Communications","","","Spectrum","Fuzzy match or mapping needed"
