hostname,ip,chassis_model,chassis_serial,chassis_description,module_count,transceiver_count
aladasa06a,10.101.255.35,DCS-7050SX3-48YC8,JPA2314P1UM,48x25GbE SFP + 8x100GbE QSFP Switch,0,0
aladasa06b,10.101.255.36,DCS-7050SX3-48YC8,JPA2313P3HE,48x25GbE SFP + 8x100GbE QSFP Switch,0,0
aladasa08a,10.101.255.37,DCS-7050SX3-48YC8,JPA2314P1V5,48x25GbE SFP + 8x100GbE QSFP Switch,0,0
cordaso12a,10.0.255.115,DCS-7050SX3-48YC8,JPA2314P1VK,48x25GbE SFP + 8x100GbE QSFP Switch,0,0
aladasa08b,10.101.255.38,DCS-7050SX3-48YC8,JPA2314P1V7,48x25GbE SFP + 8x100GbE QSFP Switch,0,0
cordaso12b,10.0.255.116,DCS-7050SX3-48YC8,JPA2314P1SG,48x25GbE SFP + 8x100GbE QSFP Switch,0,0
cordasq12a,10.0.255.117,DCS-7050SX3-48YC8,JPA2314P1S8,48x25GbE SFP + 8x100GbE QSFP Switch,0,0
cordasq12b,10.0.255.118,DCS-7050SX3-48YC8,JMX2319A6E6,48x25GbE SFP + 8x100GbE QSFP Switch,0,0
AL-MPLS-R1.dtc_phx.com,10.101.255.248,C8300-1N1S-4T2X,FLM274610LV,Cisco C8300-1N1S-4T2X Chassis,7,18
HQ-MPLS-R1.dtc_phx.com,10.0.255.248,C8300-1N1S-4T2X,FLM274610LT,Cisco C8300-1N1S-4T2X Chassis,7,18
HQ-MPLS-R1.dtc_phx.com,10.0.100.106,C8300-1N1S-4T2X,FLM274610LT,Cisco C8300-1N1S-4T2X Chassis,7,18
AL-MPLS-R1.dtc_phx.com,10.101.100.106,C8300-1N1S-4T2X,FLM274610LV,Cisco C8300-1N1S-4T2X Chassis,7,18
EQX-CldTrst-8500-01,10.44.158.41,C8500-12X,TTM251909CU,Cisco C8500-12X  Chassis,10,48
EQX-CldTrst-8500-02,10.44.158.42,C8500-12X,TTM251909E9,Cisco C8500-12X  Chassis,10,48
EQX-EdgeDIA-8300-01,10.44.158.51,C8300-2N2S-4T2X,FLM2528110Y,Cisco C8300-2N2S-4T2X Chassis,10,25
EQX-EdgeDIA-8300-02,10.44.158.52,C8300-2N2S-4T2X,FLM252911Q5,Cisco C8300-2N2S-4T2X Chassis,10,25
EQX-MPLS-8300-01,10.44.158.61,C8300-2N2S-4T2X,FLM2528110Z,Cisco C8300-2N2S-4T2X Chassis,11,25
EQX-MPLS-8300-02,10.44.158.62,C8300-2N2S-4T2X,FLM2528110X,Cisco C8300-2N2S-4T2X Chassis,11,25
HQ-LUMEN-DIA,192.168.255.14,C8300-2N2S-4T2X,FLM28291036,Cisco C8300-2N2S-4T2X Chassis,10,25
HQ-ATT-DIA,192.168.255.15,C8300-2N2S-4T2X,FLM28291037,Cisco C8300-2N2S-4T2X Chassis,10,25
