Network Name,Network ID,Device Serial,Device Model,Device Name,WAN1 IP,WAN2 IP,Organization,Last Updated
AZP 63,L_3790904986339115863,Q2KY-XL64-F85Y,MX68,AZP 63MX,143.105.158.128,174.218.25.166,DTC-Store-Inventory-All,2025-07-09 15:44:58
Desert Ridge Building I Security,N_3790904986339117346,Q2KY-WQC3-MZBX,MX68,DR Sec Bldg 1 MX,174.26.4.170,None,DTC-Store-Inventory-All,2025-07-08 17:53:20
GAA 43,L_650207196201634951,Q2HY-JBAR-6SAX,MX67C-NA,gaa43sdgwmdf001,12.51.111.53,96.38.224.148,DTC-Store-Inventory-All,2025-07-10 20:36:50
LAS 03,L_3790904986339115873,Q2KY-WU85-GAEZ,MX68,LAS 03MX,99.78.71.13,None,DTC-Store-Inventory-All,2025-07-10 20:40:03
NCC 45,L_3790904986339115697,Q2KY-Q5RE-FJZP,MX68,NCC 45MX,96.10.113.218,4.8.162.18,,2025-07-08 17:58:57
OKO_00,L_650207196201621123,Q2QN-WV2N-Q8TH,MX65,OKO 00MX,67.62.95.90,72.222.80.148,DTC-Store-Inventory-All,2025-07-08 18:00:48
PAN 03,L_3790904986339115447,Q2KY-5PHL-M4XJ,MX68,PAN 03MX,162.155.223.226,107.127.197.87,DTC-Store-Inventory-All,2025-07-08 18:01:10
PAN 04,L_3790904986339115449,Q2KY-EVC9-YJTH,MX68,PAN 04MX,198.24.105.90,107.127.197.77,DTC-Store-Inventory-All,2025-07-08 18:01:11
PAN 05,L_3790904986339115448,Q2KY-84CA-EZ6C,MX68,PAN 05MX,96.11.200.42,107.127.197.82,DTC-Store-Inventory-All,2025-07-08 18:01:12
TNN_00,L_650207196201621187,Q2QN-DUGK-RGKY,MX65,TNN 00MX,162.203.252.161,96.69.101.185,DTC-Store-Inventory-All,2025-07-08 18:02:06
TXD_00,L_650207196201621155,Q2QN-GERM-QHVY,MX65,TXD 00MX,50.84.170.198,107.80.177.132,DTC-Store-Inventory-All,2025-07-08 18:03:59
TXH_00,L_650207196201621124,Q2QN-R83S-FUSP,MX65,TXH 00MX,162.201.19.73,96.85.28.9,DTC-Store-Inventory-All,2025-07-08 18:05:14
TXHT00,L_650207196201636445,Q2KY-FKPZ-2ZMW,MX68,TXHT00,75.148.163.185,0.0.0.0,DTC-Store-Inventory-All,2025-07-08 18:05:13
VAF 01 - appliance,N_650207196201692225,Q2QN-GRCU-CR7R,MX65,VAF 01MX,50.211.60.57,166.184.103.92,DTC-Store-Inventory-All,2025-07-08 18:06:25
VAR_00,L_650207196201622188,Q2QN-9S3J-8Q65,MX65,VAR 00MX,50.210.2.145,107.85.137.141,DTC-Store-Inventory-All,2025-07-09 23:18:09
VAR 08,L_3790904986339115805,Q2KY-7J93-SWKU,MX68,VAR 08MX,74.110.158.210,50.217.201.18,DTC-Store-Inventory-All,2025-07-08 18:06:37
VAW 04,L_3790904986339115869,Q2KY-ZTZG-VD8N,MX68,VAW 04MX,N/A,N/A,DTC-Store-Inventory-All,2025-07-08 18:06:42
WAS_00,L_650207196201621176,Q2KY-XKBW-9MJX,MX68,WAS 00 MX,50.34.4.82,107.84.139.175,DTC-Store-Inventory-All,2025-07-08 18:07:18
WAS W00,N_650207196201683113,Q2QN-UHNP-68LQ,MX65,WASW00MX,50.210.47.185,166.184.139.176,DTC-Store-Inventory-All,2025-07-08 18:07:17
WAX 01,L_3790904986339115468,Q2WN-A8E2-N8LH,MX105,WAX 01 MX1,12.55.164.242,98.97.46.0,DTC-Store-Inventory-All,2025-07-08 18:07:20
