site_name,circuit_purpose,provider_name,speed_original,speed_corrected,arin_provider,wan_interface,source,status,last_updated,needs_speed_fix,billing_monthly_cost,contract_start_date,contract_term,early_termination_fee
CAN_00,Primary,Comcast,300.0 M,300.0M x 30.0M,Comcast,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
CAN_00,Secondary,AT&T,300.0 M,300.0M x 300.0M,AT&T,WAN2,Non-DSR,Enabled,46:47.1,TRUE,0,,,
CAN 16,Primary,Frontier Communications,500.0 M,500.0M x 500.0M,Frontier Communications,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
CAS_00,Primary,AT&T,300.0 M,300.0M x 300.0M,Unknown,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
CAS_00,Secondary,Cox Communications,300.0 M,300.0M x 30.0M,Unknown,WAN2,Non-DSR,Enabled,46:47.1,TRUE,0,,,
CAS 35,Primary,Frontier Communications,500.0 M,500.0M x 500.0M,Frontier Communications,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
CAS 40,Primary,Frontier Communications,500.0 M,500.0M x 50.0M,Frontier Communications,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
CAS 41,Primary,Frontier Communications,500.0 M,500.0M x 500.0M,Frontier Communications,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
CAS 46,Primary,AT&T,20.0 M,20.0M x 20.0M,AT&T,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
COD 01,Primary,Comcast,300.0 M,300.0M x 35.0M,Unknown,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
COD 03,Primary,Comcast,300.0 M,300.0M x 35.0M,Comcast,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
COD 08,Primary,Comcast,300.0 M,300.0M x 35.0M,Unknown,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
COD 09,Primary,Comcast,300.0 M,300.0M x 30.0M,Comcast,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
COD 13,Primary,Comcast,300.0 M,300.0M x 35.0M,Unknown,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
COD 41,Primary,Lumen,300.0 M,300.0M x 300.0M,Unknown,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
Cog 02,Primary,Comcast,750.0 M,750.0M x 35.0M,Comcast,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
Cog 02,Secondary,Community Broadband Network,100.0 M,100.0 M,Glenwood Springs Community Broadband Network,WAN2,Non-DSR,Enabled,46:47.1,FALSE,0,,,
Desert Ridge,Primary,Cox Network 500 Circuit ID 23.HMXX.126497 Acct 2318296-02 AT&T ADI,100.0 M,100.0 M,Cox Communications,WAN1,Non-DSR,Enabled,46:47.1,FALSE,0,,,
GAACALLCNTR,Primary,AT&T,300.0 M,300.0M x 300.0M,Unknown,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
GAACALLCNTR,Secondary,Charter Communications,100.0 M,100.0M x 30.0M,Unknown,WAN2,Non-DSR,Enabled,46:47.1,TRUE,0,,,
GAA W00,Primary,AT&T Broadband II,300.0 M,300.0M x 30.0M,AT&T,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
ILC_00,Primary,Comcast,300.0 M,300.0M x 30.0M,Unknown,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
ILC_00,Secondary,AT&T,300.0 M,300.0M x 300.0M,Unknown,WAN2,Non-DSR,Enabled,46:47.1,TRUE,0,,,
ILC 11,Primary,Comcast,300.0 M,300.0M x 35.0M,Comcast,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
ILC 12,Primary,Comcast,300.0 M,300.0M x 35.0M,Unknown,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
ILR 01,Primary,Comcast,600.0 M,600.0M x 35.0M,Comcast,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
INI_00,Primary,DSR Cincinnati Bell ADSL,400.0 M,400.0M x 200.0M,Unknown,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
INI_00,Secondary,Charter Communications,600.0 M,600.0M x 35.0M,Unknown,WAN2,Non-DSR,Enabled,46:47.1,TRUE,0,,,
INW 02,Primary,Comcast,300.0 M,300.0M x 35.0M,Unknown,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
KSK_00,Primary,Charter Communications,600.0 M,600.0M x 35.0M,Charter Communications,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
KSK_00,Secondary,AT&T,300.0 M,300.0M x 300.0M,AT&T,WAN2,Non-DSR,Enabled,46:47.1,TRUE,0,,,
MIF 05,Primary,Comcast,300.0 M,300.0M x 35.0M,Comcast,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
MNM 02,Primary,Comcast,300.0 M,300.0M x 30.0M,Comcast,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
MNM 03,Primary,Comcast,300.0 M,300.0M x 30.0M,Comcast,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
MNM 09,Primary,DSR Comcast,750.0 M,750.0M x 35.0M,"Comcast IP Services, L.L.C.",WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
MNM 11,Primary,Comcast,300.0 M,300.0M x 35.0M,Unknown,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
MNM 24,Primary,Comcast,300.0 M,300.0M x 30.0M,Comcast,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
MNM 29,Primary,Comcast,300.0 M,300.0M x 30.0M,Comcast,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
MOO 01,Primary,ComcastAgg CableOne,300.0 M,300.0M x 35.0M,"CABLE ONE, INC.",WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
MOO 04,Primary,Level 3,300.0 M,300.0M x 300.0M,Level 3,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
NCC_00,Primary,Charter Communications,600.0 M,600.0M x 35.0M,Charter Communications,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
NMA_00,Primary,Comcast,300.0 M,300.0M x 30.0M,Comcast,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
NMA_00,Secondary,CenturyLink,100.0 M,100.0M x 10.0M,CenturyLink,WAN2,Non-DSR,Enabled,46:47.1,TRUE,0,,,
NMA 10,Primary,Comcast,300.0 M,300.0M x 35.0M,Unknown,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
ORP 01,Primary,Comcast,300.0 M,300.0M x 30.0M,Unknown,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
ORP 05,Primary,Comcast,300.0 M,300.0M x 30.0M,Unknown,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
TNN_00,Primary,AT&T,300.0 M,300.0M x 300.0M,Unknown,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
TNN_00,Secondary,Comcast,300.0 M,300.0M x 30.0M,Unknown,WAN2,Non-DSR,Enabled,46:47.1,TRUE,0,,,
TXH_00,Primary,AT&T,300.0 M,300.0M x 300.0M,Unknown,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
TXH_00,Secondary,Comcast,300.0 M,300.0M x 30.0M,Unknown,WAN2,Non-DSR,Enabled,46:47.1,TRUE,0,,,
TXH 25,Primary,Comcast,300.0 M,300.0M x 35.0M,Unknown,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
TXH 28,Primary,Comcast,300.0 M,300.0M x 35.0M,Comcast,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
TXH 44,Primary,Comcast,300.0 M,300.0M x 30.0M,Comcast,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
TXH 64,Primary,Comcast,300.0 M,300.0M x 35.0M,Comcast,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
TXH 70,Primary,Comcast,300.0 M,300.0M x 35.0M,Unknown,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
TXH 86,Primary,Comcast,300.0 M,300.0M x 25.0M,Comcast,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
TXHT00,Primary,Comcast,300.0 M,300.0M x 30.0M,Unknown,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
UTS 02,Primary,Comcast,300.0 M,300.0M x 30.0M,Unknown,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
UTS 15,Primary,Comcast,600.0 M,600.0M x 35.0M,Comcast,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
UTS 17,Primary,Comcast,300.0 M,300.0M x 30.0M,Comcast,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
UTS 19,Primary,Comcast,300.0 M,300.0M x 30.0M,Comcast,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
UTS W01,Primary,Comcast,600.0 M,600.0M x 35.0M,Comcast,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
UTS W02,Primary,DSR Comcast Cable,600.0 M,600.0M x 35.0M,"Comcast Cable Communications, LLC",WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
VAF 01 - appliance,Primary,Comcast,250.0 M,250.0M x 25.0M,Unknown,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
VAR 01,Primary,Comcast,300.0 M,300.0M x 30.0M,Comcast,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
WAE 01,Primary,Comcast,300.0 M,300.0M x 30.0M,Comcast,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
WAE 02,Primary,Comcast,300.0 M,300.0M x 300.0M,Comcast,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
WAS 09,Primary,Comcast,300.0 M,300.0M x 30.0M,Comcast,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
WAS 11,Primary,Comcast,300.0 M,300.0M x 30.0M,Comcast,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
WAS 14,Primary,Comcast,300.0 M,300.0M x 30.0M,Comcast,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
WAS 23,Primary,ComcastAgg CLink,10.0 M,10.0M x 1.0M,Unknown,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
WAS W00,Primary,Comcast,200.0 M,200.0M x 200.0M,Unknown,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
WDTD 01,Primary,AT&T,1000.0 M,1000.0M x 1000.0M,AT&T,WAN1,Non-DSR,Enabled,46:47.1,TRUE,0,,,
WDTD 01,Secondary,ATT,100.0 M,100.0M x 10.0M,Verizon Business,WAN2,Non-DSR,Enabled,46:47.1,TRUE,0,,,
